Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,2020_Forecast,2021_Forecast,2022_Forecast,2023_Forecast
211011254,Knoxfield - Scoresby,54017.61742814296,55097.969776705824,56199.92917223994,57323.927755684745
211011255,Lysterfield,61722.62357582194,62957.07604733838,64216.217568285145,65500.54191965085
211011256,Rowville - Central,56835.14400167916,57971.84688171274,59131.283819347,60313.90949573394
211011258,Rowville - South,57418.25741398596,58566.62256226568,59737.955013511,60932.714113781214
211011259,Wantirna,53456.461805392806,54525.591041500666,55616.10286233068,56728.42491957729
211011260,Wantirna South,51927.98482076813,52966.544517183494,54025.875407527164,55106.39291567771
211011446,Boronia,54563.23162432199,55654.49625680843,56767.5861819446,57902.937905583494
211011447,Ferntree Gully - North,53796.73831749708,54872.673083847025,55970.12654552396,57089.529076434446
211011448,Ferntree Gully (South) - Upper Ferntree Gully,55435.130816849785,56543.83343318678,57674.71010185052,58828.204303887534
211011449,The Basin,57645.02076829347,58797.92118365934,59973.87960733253,61173.35719947918
211021261,Donvale - Park Orchards,56506.006078025326,57636.12619958584,58788.848723577554,59964.62569804911
211031263,Bayswater North,55332.7162186686,56439.37054304197,57568.15795390281,58719.52111298087
211031265,Croydon Hills - Warranwood,61339.63767515004,62566.430428653046,63817.75903722611,65094.11421797064
211031266,Ringwood,54183.98257435646,55267.66222584359,56373.015470360464,57500.47577976767
211031267,Ringwood East,58431.02773160004,59599.64828623205,60791.64125195669,62007.47407699582
211031268,Ringwood North,60034.810585091785,61235.50679679362,62460.21693272949,63709.42127138408
211031450,Croydon - East,54918.903994626555,56017.282074519084,57137.62771600947,58280.38027032966
211031451,Croydon - West,55786.08923220531,56901.81101684942,58039.847237186405,59200.64418193013
211041269,Forest Hill,53120.076763225916,54182.47829849044,55266.12786446025,56371.450421749454
211041270,Mitcham (Vic.),58858.38944203291,60035.557230873565,61236.26837549104,62460.993743000865
211041271,Nunawading,56635.10289125009,57767.80494907509,58923.161048056594,60101.624269017724
211041272,Vermont,56790.415646705354,57926.223959639465,59084.748438832255,60266.4434076089
211051275,Chirnside Park,55808.43166277645,56924.60029603198,58063.09230195262,59224.354147991675
211051276,Healesville - Yarra Glen,50635.15804649383,51647.86120742371,52680.81843157219,53734.434800203635
211051277,Kilsyth,54541.57065440129,55632.40206748931,56745.050108839096,57879.95111101588
211051278,Lilydale - Coldstream,52504.02579119678,53554.10630702072,54625.18843316113,55717.69220182435
211051279,Monbulk - Silvan,52899.93191163958,53957.93054987237,55037.089160869815,56137.83094408721
211051281,Mooroolbark,56209.22485398476,57333.40935106445,58480.077538085745,59649.679088847464
