Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,2020_Forecast,2021_Forecast,2022_Forecast,2023_Forecast
209011196,Bundoora - East,50904.70101456291,51922.79503485417,52961.25093555125,54020.47595426228
209011197,Greensborough,56692.2529818376,57826.09804147435,58982.62000230384,60162.27240234992
209011198,Heidelberg - Rosanna,61444.79626190474,62673.692187142835,63927.166030885695,65205.709351503414
209011199,Heidelberg West,49862.95800663977,50860.21716677256,51877.42151010802,52914.96994031018
209011200,Ivanhoe,64286.12562301588,65571.8481354762,66883.28509818573,68220.95080014945
209011202,Montmorency - Briar Hill,59879.961601495714,61077.560833525626,62299.11205019614,63545.09429120007
209011203,Viewbank - Yallambie,59837.87128861414,61034.62871438642,62255.321288674146,63500.42771444763
209011204,Watsonia,54948.801327652596,56047.777354205646,57168.73290128976,58312.107559315555
209021205,Kingsbury,46999.124339652015,47939.10682644506,48897.888962973964,49875.84674223344
209021428,Preston - East,56328.61686352538,57455.18920079589,58604.29298481181,59776.37884450804
209021429,Preston - West,56187.029233501016,57310.76981817104,58456.985214534456,59626.124918825146
209031211,Kinglake,46767.46602380952,47702.81534428571,48656.87165117142,49630.009084194855
209031213,Plenty - Yarrambat,54623.62620755637,55716.0987317075,56830.42070634165,57967.02912046848
209031215,Wattle Glen - Diamond Creek,59718.83464285715,60913.211335714295,62131.47556242858,63374.10507367716
209041216,Bundoora - North,49953.48624583751,50952.555970754256,51971.607090169346,53011.03923197273
209041217,Bundoora - West,49090.987505878096,50072.807255995656,51074.26340111557,52095.74866913788
209041220,Mill Park - North,53338.896343559216,54405.6742704304,55493.78775583901,56603.66351095579
209041221,Mill Park - South,50116.27064331161,51118.59605617784,52140.9679773014,53183.78733684743
209041223,Thomastown,47324.61390834311,48271.10618650998,49236.52831024017,50221.258876444976
209041224,Wallan,57408.64138293653,58556.81421059526,59727.95049480716,60922.50950470331
209041225,Whittlesea,53778.88395689036,54854.461636028165,55951.55086874873,57070.581886123706
209041431,Epping - East,54622.924300337545,55715.3827863443,56829.69044207119,57966.28425091261
209041432,Epping - South,47128.9569908931,48071.53613071096,49032.96685332518,50013.62619039169
209041433,Epping (Vic.) - West,55661.60471280667,56774.836807062806,57910.33354320406,59068.54021406815
209041435,South Morang - North,56941.42741246496,58080.25596071426,59241.861079928545,60426.69830152712
209041436,South Morang - South,55780.02653662106,56895.62706735348,58033.53960870055,59194.21040087456
209041437,Wollert,53843.02270933073,54919.88316351735,56018.2808267877,57138.64644332345
210011231,Strathmore,58459.51838539528,59628.70875310319,60821.28292816525,62037.70858672856
210021232,Gisborne,62603.22455952378,63855.28905071425,65132.39483172854,66435.04272836311
210021235,Romsey,55536.18853431778,56646.91230500414,57779.850551104224,58935.44756212631
210031236,Coburg North,56125.80137445888,57248.31740194806,58393.28374998702,59561.14942498676
210031237,Fawkner,51329.91103715145,52356.509257894475,53403.639443052365,54471.712231913414
210031440,Hadfield,55150.60836904759,56253.62053642855,57378.69294715712,58526.26680610026
210041240,Sunbury,55826.80828707244,56943.344452813886,58082.21134187016,59243.855568707564
210051242,Broadmeadows,43744.03524908426,44618.91595406595,45511.29427314727,46421.52015861022
210051243,Campbellfield - Coolaroo,50879.47230952382,51897.0617557143,52935.00299082859,53993.70305064516
210051245,Gladstone Park - Westmeadows,52837.89759200084,53894.655543840854,54972.54865471767,56071.99962781202
210051246,Greenvale - Bulla,58333.23030201738,59499.89490805773,60689.892806218886,61903.690662343266
210051247,Meadow Heights,43552.24419749695,44423.289081446885,45311.754863075825,46217.98996033734
210051250,Tullamarine,54134.809452306676,55217.50564135281,56321.855754179865,57448.29286926347
210051441,Craigieburn - Central,49325.92361644811,50312.442088777076,51318.69093055262,52345.06474916368
210051442,Craigieburn - North,53970.71854179955,55050.13291263554,56151.135570888255,57274.15828230602
210051443,Craigieburn - South,51925.14284821961,52963.645705184004,54022.91861928769,55103.376991673445
211011251,Bayswater,52926.8734414499,53985.41091027889,55065.119128484475,56166.42151105416
211011254,Knoxfield - Scoresby,54692.86779395604,55786.72514983516,56902.459652831865,58040.5088458885
211011255,Lysterfield,55242.52793308084,56347.37849174246,57474.3260615773,58623.81258280885
211011256,Rowville - Central,54199.84117490841,55283.83799840658,56389.51475837472,57517.305053542215
211011258,Rowville - South,54168.60071565933,55251.97272997252,56357.01218457197,57484.15242826341
211011259,Wantirna,51286.831613125934,52312.56824538845,53358.81961029622,54425.99600250214
211011260,Wantirna South,52621.05337714328,53673.47444468615,54746.943933579874,55841.882812251475
211011446,Boronia,55926.35425043014,57044.88133543874,58185.77896214752,59349.49454139047
211011447,Ferntree Gully - North,49556.20848083224,50547.33265044889,51558.279303457864,52589.444889527025
211011448,Ferntree Gully (South) - Upper Ferntree Gully,50891.292047363306,51909.117888310575,52947.30024607679,54006.24625099832
211011449,The Basin,50962.39954761905,51981.64753857143,53021.28048934286,54081.70609912972
211021261,Donvale - Park Orchards,53813.61094658771,54889.883165519466,55987.680828829856,57107.434445406456
211031263,Bayswater North,55177.60994825112,56281.16214721614,57406.78539016047,58554.92109796368
211031265,Croydon Hills - Warranwood,57205.665032176155,58349.77833281968,59516.77389947608,60707.109377465604
211031266,Ringwood,54271.17282119268,55356.59627761654,56463.728203168874,57593.002767232254
